new_order,hash_new,hash_full,old_hash,old_order,map_type,mapping_notes,author_date,commit_date,author_name,parent_hashes,parent_count,is_merge,subject_v1,subject_v2,body_v2,C_complexity,I_impact,R_risk,S_scope,D_doc_quality,total_score,tier,lines_added_exact,lines_deleted_exact,files_changed_exact,files_added,files_modified,files_deleted,files_renamed,touches_critical,touches_proxy,touches_preflight,touches_metrics,touches_dashboard,touches_scripts,touches_tests,touches_docs,touches_config,has_body,blu_refs,phase_ref,gap_seconds,gap_hours,gap_category,C_v1,I_v1,R_v1,S_v1,D_v1,total_v1,tier_v1,score_delta
11,cc75521,cc75521044a8acdb6f27cccf3c721fc60681fde6,6d9bc0e,23,reflog_authoritative,Confirmed via git reflog amend chain. Intermediate amend SHA: 56c4539,2026-04-15 20:55:06 +0000,2026-04-15 20:55:06 +0000,Oliver Pecha,eb881f60561312839739291a4a8e35cc5942d138,1,False,housekeeping: move tests and scripts to subdirectories,refactor(scripts): migrate scripts and tests to dedicated directories,"refactor(scripts): migrate scripts and tests to dedicated directories

The repository root was becoming cluttered with various operational scripts and test protocols. Migrating these files into structured scripts/ and tests/ subdirectories significantly improves repository navigation and developer ergonomics.",1,2,2,2,2,9,Significant,0,0,5,0,0,0,5,True,False,False,False,False,True,True,False,True,True,,,4361.0,1.2,hotfix,1,3,2,2,1,9,🟠 Significant,0.0
12,94e9730,94e9730f2c2b9b48bda3598d2b9a933ef798928d,5a7a44a,22,reflog_authoritative,Confirmed via git reflog amend chain. Intermediate amend SHA: d4b6192,2026-04-15 21:17:14 +0000,2026-04-15 21:17:14 +0000,Oliver Pecha,cc75521044a8acdb6f27cccf3c721fc60681fde6,1,False,"housekeeping, file reorg",refactor(core): organize services and deployment templates,"refactor(core): organize services and deployment templates

Similar to the root script clutter, the preflight router and setup templates lacked a modular structure. Moving the preflight service into services/preflight/ and standardizing the setup/ templates finalizes the repository reorganization, aligning with a professional monorepo layout.",1,2,2,2,3,10,Significant,0,0,8,0,0,0,8,True,True,True,False,False,True,False,True,False,True,,,1328.0,0.4,hotfix,1,3,2,2,1,9,🟠 Significant,1.0
13,b411261,b411261ce56ef3804e5f5313e780827b247f0b98,c02091d,21,reflog_authoritative,Confirmed via git reflog amend chain. Intermediate amend SHA: 25b5463,2026-04-15 21:20:37 +0000,2026-04-15 21:20:37 +0000,Oliver Pecha,94e9730f2c2b9b48bda3598d2b9a933ef798928d,1,False,chore: untrack data directory,chore(core): remove redundant redis gitkeep,"chore(core): remove redundant redis gitkeep

The setup script now handles the dynamic creation of the Redis data directories. Removing the static .gitkeep file prevents unnecessary repository tracking while maintaining the required host paths for Docker.",1,1,1,1,3,7,Routine,0,0,1,0,0,1,0,False,False,False,False,False,False,False,False,False,True,,,203.0,0.1,hotfix,1,1,1,1,2,6,🟡 Routine,1.0
14,3d239c7,3d239c7bbb4d2617bb8173e03d061c49ba7c4a6f,15d3894,18,reflog_authoritative,Confirmed via git reflog amend chain. Intermediate amend SHA: dc78eb1,2026-04-16 21:21:41 +0000,2026-04-16 21:21:41 +0000,Oliver Pecha,b411261ce56ef3804e5f5313e780827b247f0b98,1,False,"docs: mark Phase 2 complete, fix BLU-17 embedding model name, add BLU-34",docs(core): update roadmap phases and correct embedding model names,"docs(core): update roadmap phases and correct embedding model names

The engineering blueprint contained outdated model references and phase statuses, creating misalignment. Updating ROADMAP.md to mark Phase 2 complete and explicitly pinning gemini-embedding-001 corrects these discrepancies. This ensures the documentation accurately reflects the current deployment architecture.",1,1,1,1,3,7,Routine,11,8,1,0,1,0,0,False,False,False,False,False,False,False,True,False,True,,2.0,86464.0,24.0,normal,2,2,3,1,3,11,🟠 Significant,-4.0
15,5312a2f,5312a2f54f85d90d8fdaccf0e4c29370b13e73c3,52b6673,17,reflog_authoritative,Confirmed via git reflog amend chain. Intermediate amend SHA: ae1de42,2026-04-16 21:39:54 +0000,2026-04-16 21:39:54 +0000,Oliver Pecha,3d239c7bbb4d2617bb8173e03d061c49ba7c4a6f,1,False,update README.md,docs(core): expand README with new agent roster and routing topology,"docs(core): expand README with new agent roster and routing topology

The system architecture documentation lacked recent additions like the MC agent and the Claude 4.6 Opus upgrade for The Board. Expanding the agent roster and providing a detailed ASCII routing map clarifies the pre-flight pipeline. This significantly improves architectural visibility and developer onboarding.",2,1,1,1,3,8,Routine,92,22,1,0,1,0,0,False,False,False,False,False,False,False,True,False,True,,,1093.0,0.3,hotfix,2,1,1,2,1,7,🟡 Routine,1.0
16,0e3e67b,0e3e67bdea55649a72fd1a9328885f8553057246,f107460,16,reflog_authoritative,Confirmed via git reflog amend chain. Intermediate amend SHA: 28a4b54,2026-04-26 21:04:56 +0000,2026-04-26 21:04:56 +0000,Oliver Pecha,5312a2f54f85d90d8fdaccf0e4c29370b13e73c3,1,False,return to exact cache,perf(proxy): downgrade to exact redis caching and add safeboot fallback,"perf(proxy): downgrade to exact redis caching and add safeboot fallback

Semantic caching via text-embedding models was introducing unnecessary latency and false-negative cache misses for identical prompts. Reverting the LiteLLM configuration to exact 'redis' matching restores immediate cache hits, and adding a safeboot script disables caching if Redis fails. This maximizes cache responsiveness and prevents LiteLLM container crash loops.",2,3,2,2,3,12,Significant,95,21,2,1,1,0,0,True,False,False,False,False,True,False,False,True,True,,,861902.0,239.4,pause,3,3,2,2,1,11,🟠 Significant,1.0
17,cc2aa59,cc2aa59ed2ff89db1c071e0bc4df69405b589ea2,9f59fd2,13,reflog_authoritative,Confirmed via git reflog amend chain. Intermediate amend SHA: 85d1061,2026-05-01 17:03:12 +0000,2026-05-01 17:03:12 +0000,Oliver Pecha,0e3e67bdea55649a72fd1a9328885f8553057246,1,False,fix: protocol violation in proxy headers...,fix(proxy): strip illegal hop-by-hop headers to restore SSE streaming,"fix(proxy): strip illegal hop-by-hop headers to restore SSE streaming

The proxy was forwarding illegal 'content-length' and 'transfer-encoding' headers during StreamingResponses, causing Node's HTTP client to reject the connection. Stripping these headers before dispatching the response ensures downstream clients can successfully parse the event stream. Concurrently, removing the 'thinking' budget on flash-lite prevents upstream API rejections.",3,3,3,3,3,15,Critical,57,64,2,0,2,0,0,True,True,False,False,False,True,False,False,True,True,,,417496.0,116.0,normal,3,3,3,2,2,13,🔴 Critical,2.0
18,aafc7c1,aafc7c1f544f0e35d8130ba121395a177f7a8762,945028a,12,reflog_authoritative,Confirmed via git reflog amend chain. Intermediate amend SHA: 681ff3e,2026-05-01 20:20:58 +0000,2026-05-01 20:20:58 +0000,Oliver Pecha,cc2aa59ed2ff89db1c071e0bc4df69405b589ea2,1,False,"add mem limits, tier-nano rename",refactor(core): standardize nano tier naming convention,"refactor(core): standardize nano tier naming convention

The naming convention for the lowest-tier model was inconsistent, causing configuration friction. Renaming 'tier-nano-router' to 'tier-nano' across the LiteLLM config generator and proxy unifies the internal model registry. This creates a predictable tier structure and reduces the risk of preflight misrouting.",1,2,3,3,3,12,Significant,2,2,2,0,2,0,0,True,True,False,False,False,True,False,False,True,True,,,11866.0,3.3,rapid,1,3,2,1,1,8,🟡 Routine,4.0
19,fea7685,fea7685a105fdb00a013a6f120a06b4098012073,cccd8ce,11,reflog_authoritative,Confirmed via git reflog amend chain. Intermediate amend SHA: 5ca59d6,2026-05-03 21:06:53 +0000,2026-05-03 21:06:53 +0000,Oliver Pecha,aafc7c1f544f0e35d8130ba121395a177f7a8762,1,False,feat: add raw payload logging to proxy and automated cleanup script,feat(proxy): implement payload audit logging and automated retention,"feat(proxy): implement payload audit logging and automated retention

Developers lacked visibility into the exact JSON structures being sent to upstream providers, making debugging complex payloads difficult. Introducing a toggleable log_payload interceptor captures outbound requests into a date-partitioned directory, while a new cleanup script ensures 30-day retention. This provides a secure, self-maintaining audit trail for system diagnostics.",2,3,3,2,3,13,Critical,67,0,2,1,1,0,0,True,True,False,False,False,True,False,False,False,True,,,175555.0,48.8,normal,3,3,2,2,2,12,🟠 Significant,1.0
20,26fb1a4,26fb1a4b34c5804e5f548f1d5453b9745ab4ec38,cf762d5,9,reflog_authoritative,Confirmed via git reflog amend chain. Intermediate amend SHA: d75b0b7,2026-05-05 16:26:25 +0000,2026-05-05 16:26:25 +0000,Oliver Pecha,fea7685a105fdb00a013a6f120a06b4098012073,1,False,feat(ui): complete dashboard architecture and inspector overhaul,feat(dashboard): complete dashboard architecture and inspector overhaul,"feat(dashboard): complete dashboard architecture and inspector overhaul

The legacy dashboard was inadequate for parsing structured CSV ledger data and managing log navigation. By implementing a responsive layout engine with a floating sidebar and a 3-part accordion inspector, we achieve dynamic sorting and secure in-tab log navigation. This drastically improves observability and debugging efficiency.",3,3,3,3,3,15,Critical,783,167,7,6,1,0,0,True,True,False,True,True,False,False,False,False,True,,,155972.0,43.3,normal,3,2,3,3,3,14,🔴 Critical,1.0
21,4a4257d,4a4257d9ef3613bda11776855d093d980b413d45,8cfb2dd,8,reflog_authoritative,Confirmed via git reflog amend chain. Intermediate amend SHA: ea6edf0,2026-05-07 07:36:02 +0000,2026-05-07 07:36:02 +0000,Oliver Pecha,26fb1a4b34c5804e5f548f1d5453b9745ab4ec38,1,False,fix: resolve stream fragmentation and restore deep metadata pipeline,fix(proxy): resolve stream fragmentation and restore deep metadata pipeline,"fix(proxy): resolve stream fragmentation and restore deep metadata pipeline

The proxy was experiencing connection locking and JSON chunk fragmentation in the SSE stream due to blocking logs and aiter_bytes. Implementing a decoupled asynchronous background logger and switching to aiter_lines restores the stream integrity and upstream model extraction. This fixes the Preflight container boot loops and ensures stable log rendering.",3,3,3,3,3,15,Critical,548,375,5,0,5,0,0,True,True,False,True,True,False,False,False,False,True,,,140977.0,39.2,normal,3,2,3,3,2,13,🔴 Critical,2.0
22,e03434c,e03434c8f77f98c311412390bc2ed7d4b5a690a1,e5e2bb9,7,reflog_authoritative,Confirmed via git reflog amend chain. Intermediate amend SHA: 3a55ef1,2026-05-09 20:40:34 +0000,2026-05-09 20:40:34 +0000,Oliver Pecha,4a4257d9ef3613bda11776855d093d980b413d45,1,False,perf(proxy): implement global httpx connection pool and fix uvicorn startup,perf(proxy): implement global httpx connection pool and fix uvicorn startup,"perf(proxy): implement global httpx connection pool and fix uvicorn startup

The proxy suffered from a 4.8-second latency bottleneck caused by Docker IPv6 DNS lookup timeouts and per-request socket creation, and Uvicorn had silent container exits. Refactoring to use a globally scoped httpx.AsyncClient with keep-alive limits and properly binding Uvicorn resolves these issues. Proxy overhead is now successfully reduced from ~5,600ms to <20ms for warm cache hits.",2,3,2,1,3,11,Significant,39,6,1,0,1,0,0,True,True,False,False,False,False,False,False,False,True,,,219872.0,61.1,normal,2,2,2,2,3,11,🟠 Significant,0.0
23,f2aaeaf,f2aaeaf8df53445fc48cad5f7e6e0fcb09932727,59ab51c,6,reflog_authoritative,Confirmed via git reflog amend chain. Intermediate amend SHA: 39d4355,2026-05-10 13:20:31 +0000,2026-05-10 13:20:31 +0000,Oliver Pecha,e03434c8f77f98c311412390bc2ed7d4b5a690a1,1,False,perf(gateway): optimize tool profile to prevent event loop blocking,perf(gateway): optimize tool profile to prevent event loop blocking,"perf(gateway): optimize tool profile to prevent event loop blocking

The gateway was compiling a massive 27k-character system prompt, leading to a 70-second latency bottleneck and event loop blocking. Updating openclaw.json to use the 'minimal' tool profile and explicitly whitelisting required plugins resolves this. This optimization ensures fast and responsive gateway interactions.",2,3,2,1,3,11,Significant,21,7,2,0,2,0,0,True,True,True,False,False,False,False,False,False,True,,,59997.0,16.7,rapid,2,2,3,2,3,12,🟠 Significant,-1.0
24,4a9154b,4a9154b27982bd79c8780ca27354969fa22dd5d1,9ef3c9a,5,reflog_authoritative,Confirmed via git reflog amend chain. Intermediate amend SHA: bd82473,2026-05-10 19:38:23 +0000,2026-05-10 19:38:23 +0000,Oliver Pecha,f2aaeaf8df53445fc48cad5f7e6e0fcb09932727,1,False,refactor: standardize existing scripts to [trigger]_[domain]_[action] convention,refactor(scripts): standardize script naming to trigger-domain-action convention,"refactor(scripts): standardize script naming to trigger-domain-action convention

The repository's script naming was inconsistent, making navigation and maintenance difficult as the toolset grew. Renaming all scripts to follow the [trigger]_[domain]_[action] convention creates a predictable and organized file structure. This standardizes the DevOps tooling and improves developer ergonomics.",2,2,2,3,3,12,Significant,118,1,6,2,0,0,4,True,False,False,False,False,True,False,False,True,True,,,22672.0,6.3,rapid,1,3,2,2,2,10,🟠 Significant,2.0
25,b27231f,b27231f8da907ff73329e7e756ef6c9ec5153559,003948c,4,reflog_authoritative,Confirmed via git reflog amend chain. Intermediate amend SHA: 26898ba,2026-05-10 19:38:30 +0000,2026-05-10 19:38:30 +0000,Oliver Pecha,4a9154b27982bd79c8780ca27354969fa22dd5d1,1,False,feat: implement centralized BEO hub and Docker lifecycle tools,feat(scripts): implement centralized BEO hub and Docker lifecycle tools,"feat(scripts): implement centralized BEO hub and Docker lifecycle tools

Managing individual scripts for status checks, updates, and restarts caused workflow friction. Introducing beo_script_hub.sh for global command routing and setup_cli_link.sh for symlink creation unifies the toolchain. This provides developers with a single, cohesive CLI entry point for Docker lifecycle management.",3,1,1,3,3,11,Significant,212,0,6,6,0,0,0,False,False,False,False,False,True,False,False,False,True,,,7.0,0.0,hotfix,3,3,2,3,2,13,🔴 Critical,-2.0
26,90a835d,90a835d7be855318b3bce5f90c0d25fe12ee201f,971d4e6,3,reflog_authoritative,Confirmed via git reflog amend chain. Intermediate amend SHA: d4fe704,2026-05-11 16:44:37 +0000,2026-05-11 16:44:37 +0000,Oliver Pecha,b27231f8da907ff73329e7e756ef6c9ec5153559,1,False,dashboard: averages panel polish + layout fixes,style(dashboard): refine averages panel and fix layout rendering,"style(dashboard): refine averages panel and fix layout rendering

The dashboard averages panel suffered from border and padding inheritance issues, and the date range selector had a broken submit action. Replacing details/summary with a div and JS toggle and fixing padding creates a seamless UI. These layout fixes and tab-completion tweaks greatly improve the user experience.",3,2,3,3,3,14,Critical,577,270,6,0,6,0,0,True,True,False,False,True,True,False,False,False,True,,,75967.0,21.1,rapid,3,3,3,3,1,13,🔴 Critical,1.0
27,69e39ff,69e39ff6622a364ba565ba7ae2d721a43813ea42,fb6cb5b,2,reflog_authoritative,Confirmed via git reflog amend chain. Intermediate amend SHA: d0ad381,2026-05-13 19:11:45 +0000,2026-05-13 19:11:45 +0000,Oliver Pecha,90a835d7be855318b3bce5f90c0d25fe12ee201f,1,False,feat(core): synchronize microsecond logging and add nano-tier routing,feat(proxy): synchronize microsecond logging and add nano-tier routing,"feat(proxy): synchronize microsecond logging and add nano-tier routing

Filename collisions were occurring in the logging system due to timestamp overlap, and simple pings were routing through expensive tiers. Upgrading proxy log generation to microsecond precision and implementing a tier-nano interceptor routes status triggers optimally. This prevents log corruption and saves resources on basic health checks.",2,3,2,2,3,12,Significant,24,12,2,0,2,0,0,True,True,False,False,True,False,False,False,False,True,,,181628.0,50.5,normal,2,2,3,2,3,12,🟠 Significant,0.0
28,b872367,b872367fcdd0464dfbc003ea04e10c1c95b28ffb,942183a,1,reflog_authoritative,Confirmed via git reflog amend chain. Intermediate amend SHA: a978894,2026-05-13 19:12:01 +0000,2026-05-13 19:12:01 +0000,Oliver Pecha,69e39ff6622a364ba565ba7ae2d721a43813ea42,1,False,feat(scripts): overhaul CLI UI with interactive menus and dynamic litellm rebuilds,feat(scripts): overhaul CLI UI with interactive menus and dynamic litellm rebuilds,"feat(scripts): overhaul CLI UI with interactive menus and dynamic litellm rebuilds

The CLI scripts lacked visual feedback and required manual container restarts for configuration changes. Adding multi-line progress bars, emoji dictionaries, and a dynamic rebuild command that auto-detects and restarts LiteLLM modernizes the interaction. This delivers a highly polished, interactive developer experience.",3,1,1,3,3,11,Significant,793,153,6,0,6,0,0,False,False,False,False,False,True,False,False,False,True,,,16.0,0.0,hotfix,3,3,2,3,3,14,🔴 Critical,-3.0
